Province	No of Cases	%
Western	51111	52.77%
Southern	14016	14.47%
Central	8920	9.21%
Sabaragamuwa	7982	8.24%
North Western	4859	5.02%
Eastern	4066	4.20%
Uva	2734	2.82%
North Central	1749	1.81%
Northern	1410	1.46%
