District/Unit	No of Cases	%
NIHS	1277	1.32%
Monaragala	1209	1.25%
Kalmunai	1148	1.19%
Matale	998	1.03%
Anuradhapura	987	1.02%
Jaffna	983	1.02%
Nuwaraeliya	758	0.78%
Polonnaruwa	762	0.79%
Trincomalee	686	0.71%
Ampara	685	0.71%
Vavuniya	165	0.17%
Mannar	95	0.10%
Kilinochchi	92	0.09%
Mullaitivu	75	0.08%
