District/ Unit	No of Cases	%
Gampaha	20601	21.27%
Colombo	19142	19.77%
Kandy	7164	7.40%
Kalutara	6212	6.41%
Matara	6178	6.38%
Galle	5277	5.45%
Ratnapura	5127	5.29%
CMC	3879	4.01%
Kegalle	2855	2.95%
Kurunegala	2737	2.83%
Hambantota	2561	2.64%
Puttalam	2122	2.19%
Batticaloa	1547	1.60%
Badulla	1525	1.57%
