Province	No of Cases	%
Western	28403	52.41%
Southern	8670	16.00%
Sabaragamuwa	4753	8.77%
Central	4111	7.59%
Eastern	2752	5.08%
North Western	2400	4.43%
Uva	1347	2.49%
Northern	884	1.63%
North Central	869	1.60%
