District/ Unit	No of Cases	%
Monaragala	688	1.27%
Badulla	659	1.22%
Jaffna	657	1.21%
Matale	594	1.10%
NIHS	583	1.08%
Trincomalee	519	0.96%
Anuradhapura	445	0.82%
Polonnaruwa	424	0.78%
Ampara	361	0.67%
Nuwaraeliya	277	0.51%
Vavuniya	84	0.16%
Kilinochchi	54	0.10%
Mannar	54	0.10%
Mullaitivu	35	0.06%
