District/ Unit	No of Cases	%
Gampaha	19467	21.31%
Colombo	18133	19.85%
Kandy	6526	7.14%
Matara	6021	6.59%
Kalutara	5921	6.48%
Galle	5006	5.48%
Ratnapura	4910	5.38%
CMC	3678	4.03%
Kegalle	2581	2.83%
Kurunegala	2578	2.82%
Hambantota	2452	2.68%
Puttalam	1987	2.18%
Batticaloa	1468	1.61%
Badulla	1409	1.54%
