Province	No of Cases	%
Western	48383	52.97%
Southern	13479	14.76%
Central	8160	8.93%
Sabaragamuwa	7491	8.20%
North Western	4565	5.00%
Eastern	3779	4.14%
Uva	2550	2.79%
North Central	1605	1.76%
Northern	1334	1.46%
