District/ Unit	No of Cases	%
NIHS	1184	1.30%
Monaragala	1141	1.25%
Kalmunai	1025	1.12%
Matale	944	1.03%
Jaffna	922	1.01%
Anuradhapura	885	0.97%
Polonnaruwa	720	0.79%
Nuwaraeliya	690	0.76%
Trincomalee	664	0.73%
Ampara	622	0.68%
Vavuniya	158	0.17%
Mannar	92	0.10%
Kilinochchi	89	0.10%
Mullaitivu	73	0.08%
