District/ Unit	No of Cases	%
Gampaha	20348	21.31%
Colombo	18914	19.81%
Kandy	6977	7.31%
Matara	6137	6.43%
Kalutara	6149	6.44%
Galle	5215	5.46%
Ratnapura	5067	5.31%
CMC	3840	4.02%
Kegalle	2780	2.91%
Kurunegala	2694	2.82%
Hambantota	2534	2.65%
Puttalam	2085	2.18%
Batticaloa	1524	1.60%
Badulla	1497	1.57%
