Province	No of Cases	%
Western	50506	52.89%
Southern	13886	14.54%
Central	8710	9.12%
Sabaragamuwa	7847	8.22%
North Western	4779	5.00%
Eastern	3981	4.17%
Uva	2690	2.82%
North Central	1706	1.79%
Northern	1388	1.45%
