District/ Unit	No of Cases	%
NIHS	1255	1.31%
Monaragala	1193	1.25%
Kalmunai	1105	1.16%
Matale	989	1.04%
Jaffna	962	1.01%
Anuradhapura	957	1.00%
Polonnaruwa	749	0.78%
Nuwaraeliya	744	0.78%
Trincomalee	680	0.71%
Ampara	672	0.70%
Vavuniya	165	0.17%
Mannar	95	0.10%
Kilinochchi	91	0.10%
Mullaitivu	75	0.08%
