District/ Unit	No of Cases	%
Colombo	10085	20.89%
Gampaha	9093	18.83%
Matara	3451	7.15%
Kalutara	3250	6.73%
Ratnapura	3091	6.40%
Galle	2872	5.95%
Kandy	2732	5.66%
CMC	2251	4.66%
Hambantota	1420	2.94%
Kegalle	1329	2.75%
Kurunegala	1206	2.50%
Batticaloa	1111	2.30%
Puttalam	874	1.81%
Kalmunai	678	1.40%
