district_id	district_name	n_cases
LK-11	Colombo	16665
LK-11-CMC	CMC	3417
LK-12	Gampaha	17779
LK-13	Kalutara	5442
LK-13-NIHS	NIHS	1056
LK-21	Kandy	5753
LK-22	Matale	841
LK-23	Nuwaraeliya	612
LK-31	Galle	4615
LK-32	Matara	5703
LK-33	Hambantota	2268
LK-41	Jaffna	846
LK-42	Mannar	89
LK-43	Vavuniya	143
LK-44	Mullaitivu	49
LK-45	Kilinochchi	79
LK-51	Batticaloa	1383
LK-52	Ampara	586
LK-52-Kalmunai	Kalmunai	928
LK-53	Trincomalee	622
LK-61	Kurunegala	2350
LK-62	Puttalam	1771
LK-71	Anuradhapura	778
LK-72	Polonnaruwa	675
LK-81	Badulla	1248
LK-82	Monaragala	1053
LK-91	Ratnapura	4608
LK-92	Kegalle	2302
