District/ Unit	No of Cases	%
Monaragala	661	1.27%
Jaffna	648	1.24%
Badulla	636	1.22%
NIHS	554	1.06%
Matale	545	1.05%
Trincomalee	516	0.99%
Anuradhapura	427	0.82%
Polonnaruwa	410	0.79%
Ampara	354	0.68%
Nuwaraeliya	269	0.52%
Vavuniya	84	0.16%
Kilinochchi	54	0.10%
Mannar	54	0.10%
Mullaitivu	35	0.07%
