Province	No of Cases	%
Western	27305	52.44%
Southern	8243	15.83%
Sabaragamuwa	4675	8.98%
Central	3830	7.36%
Eastern	2714	5.21%
North Western	2292	4.40%
Uva	1297	2.49%
Northern	875	1.68%
North Central	837	1.61%
