District/ Unit	No of Cases	%
Colombo	10839	20.82%
Gampaha	10113	19.42%
Matara	3694	7.09%
Kalutara	3474	6.67%
Ratnapura	3235	6.21%
Galle	3027	5.81%
Kandy	3016	5.79%
CMC	2325	4.47%
Hambantota	1522	2.92%
Kegalle	1440	2.77%
Kurunegala	1318	2.53%
Batticaloa	1138	2.19%
Puttalam	974	1.87%
Kalmunai	706	1.36%
