hospital_name	n_cases_last_week	n_cases_this_week
BH - Balapitiya	11	15
BH - Karawanella	11	17
BH - Mawanella	5	14
BH - Panadura	48	67
BH - Rikillagaskada	2	11
BH - Warakapola	10	12
DGH - Chilaw	18	18
DGH - Gampaha	37	54
DGH - Kegalle	7	11
DGH - Matale	5	11
DGH - Monaragala	5	18
DGH - Nawalapitiya	13	15
DGH - Negombo	106	133
DGH - Polonnaruwa	13	12
LRH	43	56
NH - Galle	70	90
NH - Kandy	61	78
NHSL	93	122
NIID	155	198
TH - Anuradhapura	12	15
TH - Colombo North	84	128
TH - Kurunegala	40	53
TH - Peradeniya	63	64
TH - Ratnapura	64	76
TH – Colombo South	104	152
TH-Matara	166	186
