district_id	district_name	n_last_year_last_week	n_last_year_this_week	n_this_year_last_week	n_this_year_this_week	cum_n_last_year	cum_n_this_year
LK-11	Colombo	292	259	1201	1296	7154	12129
LK-12	Gampaha	212	183	1040	1257	4136	8697
LK-13	Kalutara	64	58	425	452	1123	3622
LK-21	Kandy	151	189	374	440	1958	2678
LK-22	Matale	11	12	28	48	633	532
LK-23	Nuwara Eliya	13	14	24	50	111	227
LK-31	Galle	43	85	276	250	1217	2849
LK-32	Matara	43	51	466	379	907	3436
LK-33	Hambantota	18	28	104	184	464	1386
LK-41	Jaffna	91	33	24	23	649	628
LK-42	Mannar	0	6	4	0	102	47
LK-43	Vavuniya	2	1	5	5	28	80
LK-44	Mullaitivu	1	3	3	0	13	33
LK-45	Kilinochchi	3	1	0	3	47	50
LK-51	Batticaloa	45	27	49	46	1495	1102
LK-52	Trincomalee	17	15	26	22	782	492
LK-52-Kalmunai	Kalmunai	5	8	18	31	286	671
LK-53	Ampara	4	2	31	24	84	300
LK-61	Kurunegala	64	65	136	95	765	1190
LK-62	Puttalam	8	18	84	133	403	842
LK-71	Anuradhapura	7	17	24	51	284	349
LK-72	Polonnaruwa	15	8	39	43	195	358
LK-81	Badulla	20	28	54	56	410	551
LK-82	Monaragala	22	40	33	89	511	592
LK-91	Ratnapura	136	110	245	159	3244	3059
LK-92	Kegalle	47	44	106	131	791	1277
