Province	No of Cases	%
Western	38700	52.69%
Southern	11382	15.50%
Sabaragamuwa	6188	8.42%
Central	6117	8.33%
North Western	3456	4.70%
Eastern	3292	4.48%
Uva	1960	2.67%
North Central	1251	1.70%
Northern	1109	1.51%
