District/ Unit	No of Cases	%
Monaragala	936	1.27%
NIHS	872	1.19%
Kalmunai	864	1.18%
Jaffna	791	1.08%
Matale	776	1.06%
Anuradhapura	659	0.90%
Trincomalee	602	0.82%
Polonnaruwa	592	0.81%
Ampara	519	0.71%
Nuwaraeliya	485	0.66%
Vavuniya	123	0.17%
Mannar	81	0.11%
Kilinochchi	70	0.10%
Mullaitivu	44	0.06%
