District/ Unit	No of Cases	%
Gampaha	15341	20.88%
Colombo	14625	19.91%
Matara	5167	7.03%
Kalutara	4870	6.63%
Kandy	4856	6.61%
Ratnapura	4184	5.70%
Galle	4143	5.64%
CMC	2992	4.07%
Hambantota	2072	2.82%
Kegalle	2004	2.73%
Kurunegala	1991	2.71%
Puttalam	1465	1.99%
Batticaloa	1307	1.78%
Badulla	1024	1.39%
