district_id	district_name	n_cases
LK-11	Colombo	11540
LK-11-CMC	CMC	2447
LK-12	Gampaha	11218
LK-13	Kalutara	3772
LK-13-NIHS	NIHS	625
LK-21	Kandy	3396
LK-22	Matale	601
LK-23	Nuwaraeliya	320
LK-31	Galle	3263
LK-32	Matara	4069
LK-33	Hambantota	1639
LK-41	Jaffna	665
LK-42	Mannar	60
LK-43	Vavuniya	87
LK-44	Mullaitivu	35
LK-45	Kilinochchi	55
LK-51	Batticaloa	1173
LK-52	Ampara	391
LK-52-Kalmunai	Kalmunai	742
LK-53	Trincomalee	528
LK-61	Kurunegala	1481
LK-62	Puttalam	1044
LK-71	Anuradhapura	470
LK-72	Polonnaruwa	442
LK-81	Badulla	708
LK-82	Monaragala	710
LK-91	Ratnapura	3394
LK-92	Kegalle	1547
