district_id	district_name	n_cases
LK-11	Colombo	12663
LK-11-CMC	CMC	2624
LK-12	Gampaha	12582
LK-13	Kalutara	4191
LK-13-NIHS	NIHS	716
LK-21	Kandy	3903
LK-22	Matale	664
LK-23	Nuwaraeliya	369
LK-31	Galle	3597
LK-32	Matara	4477
LK-33	Hambantota	1775
LK-41	Jaffna	711
LK-42	Mannar	67
LK-43	Vavuniya	101
LK-44	Mullaitivu	36
LK-45	Kilinochchi	58
LK-51	Batticaloa	1227
LK-52	Ampara	438
LK-52-Kalmunai	Kalmunai	797
LK-53	Trincomalee	566
LK-61	Kurunegala	1657
LK-62	Puttalam	1174
LK-71	Anuradhapura	542
LK-72	Polonnaruwa	499
LK-81	Badulla	821
LK-82	Monaragala	786
LK-91	Ratnapura	3683
LK-92	Kegalle	1698
