district_id	district_name	n_cases
LK-11	Colombo	17955
LK-11-CMC	CMC	3630
LK-12	Gampaha	19204
LK-13	Kalutara	5871
LK-13-NIHS	NIHS	1164
LK-21	Kandy	6413
LK-22	Matale	933
LK-23	Nuwaraeliya	681
LK-31	Galle	4968
LK-32	Matara	5971
LK-33	Hambantota	2422
LK-41	Jaffna	923
LK-42	Mannar	91
LK-43	Vavuniya	155
LK-44	Mullaitivu	70
LK-45	Kilinochchi	83
LK-51	Batticaloa	1456
LK-52	Ampara	619
LK-52-Kalmunai	Kalmunai	999
LK-53	Trincomalee	664
LK-61	Kurunegala	2542
LK-62	Puttalam	1960
LK-71	Anuradhapura	866
LK-72	Polonnaruwa	712
LK-81	Badulla	1387
LK-82	Monaragala	1129
LK-91	Ratnapura	4883
LK-92	Kegalle	2555
