district_id	district_name	n_cases
LK-11	Colombo	13150
LK-11-CMC	CMC	2700
LK-12	Gampaha	13322
LK-13	Kalutara	4354
LK-13-NIHS	NIHS	742
LK-21	Kandy	4091
LK-22	Matale	681
LK-23	Nuwaraeliya	385
LK-31	Galle	3767
LK-32	Matara	4600
LK-33	Hambantota	1844
LK-41	Jaffna	732
LK-42	Mannar	67
LK-43	Vavuniya	111
LK-44	Mullaitivu	39
LK-45	Kilinochchi	61
LK-51	Batticaloa	1248
LK-52	Ampara	447
LK-52-Kalmunai	Kalmunai	809
LK-53	Trincomalee	577
LK-61	Kurunegala	1742
LK-62	Puttalam	1250
LK-71	Anuradhapura	566
LK-72	Polonnaruwa	536
LK-81	Badulla	882
LK-82	Monaragala	816
LK-91	Ratnapura	3766
LK-92	Kegalle	1749
