District/Unit	No of Cases	%
NIHS	1289	1.32%
Monaragala	1215	1.24%
Kalmunai	1165	1.19%
Matale	1012	1.04%
Anuradhapura	993	1.02%
Jaffna	1000	1.02%
Nuwaraeliya	770	0.79%
Polonnaruwa	768	0.79%
Trincomalee	689	0.71%
Ampara	692	0.71%
Vavuniya	166	0.17%
Mannar	95	0.10%
Kilinochchi	94	0.10%
Mullaitivu	76	0.08%
