District/ Unit	No of Cases	%
Gampaha	20742	21.24%
Colombo	19235	19.70%
Kandy	7291	7.47%
Kalutara	6247	6.40%
Matara	6209	6.36%
Galle	5329	5.46%
Ratnapura	5161	5.29%
CMC	3915	4.01%
Kegalle	2904	2.97%
Kurunegala	2762	2.83%
Hambantota	2575	2.64%
Puttalam	2142	2.19%
Batticaloa	1557	1.59%
Badulla	1544	1.58%
