Province	No of Cases	%	
Western	51428	52.67%	
Southern	14113	14.45%	
Central	9073	9.29%	
Sabaragamuwa	8065	8.26%	
North Western	4904	5.02%	
Eastern	4103	4.20%	
Uva	2759	2.83%	
North Central	1761	1.80%	
Northern	1431	1.47%	
High - risk MOH Areas [Week 36, 2026]		35	
