district_id	district_name	n_cases
LK-11	Colombo	19235
LK-11-CMC	CMC	3915
LK-12	Gampaha	20742
LK-13	Kalutara	6247
LK-13-NIHS	NIHS	1289
LK-21	Kandy	7291
LK-22	Matale	1012
LK-23	Nuwaraeliya	770
LK-31	Galle	5329
LK-32	Matara	6209
LK-33	Hambantota	2575
LK-41	Jaffna	1000
LK-42	Mannar	95
LK-43	Vavuniya	166
LK-44	Mullaitivu	76
LK-45	Kilinochchi	94
LK-51	Batticaloa	1557
LK-52	Ampara	692
LK-52-Kalmunai	Kalmunai	1165
LK-53	Trincomalee	689
LK-61	Kurunegala	2762
LK-62	Puttalam	2142
LK-71	Anuradhapura	993
LK-72	Polonnaruwa	768
LK-81	Badulla	1544
LK-82	Monaragala	1215
LK-91	Ratnapura	5161
LK-92	Kegalle	2904
