Province	No of Cases	%
Western	42414	52.94%
Southern	12154	15.17%
Central	6837	8.53%
Sabaragamuwa	6661	8.31%
North Western	3875	4.84%
Eastern	3438	4.29%
Uva	2154	2.69%
North Central	1408	1.76%
Northern	1173	1.46%
