District/ Unit	No of Cases	%
Monaragala	993	1.24%
NIHS	966	1.21%
Kalmunai	900	1.12%
Jaffna	826	1.03%
Matale	822	1.03%
Anuradhapura	763	0.95%
Polonnaruwa	645	0.81%
Trincomalee	619	0.77%
Nuwaraeliya	578	0.72%
Ampara	564	0.70%
Vavuniya	136	0.17%
Mannar	86	0.11%
Kilinochchi	76	0.09%
Mullaitivu	49	0.06%
