District/ Unit	No of Cases	%
Gampaha	16950	21.16%
Colombo	16021	20.00%
Matara	5534	6.91%
Kandy	5437	6.79%
Kalutara	5245	6.55%
Ratnapura	4482	5.59%
Galle	4430	5.53%
CMC	3232	4.03%
Kurunegala	2210	2.76%
Hambantota	2190	2.73%
Kegalle	2179	2.72%
Puttalam	1665	2.08%
Batticaloa	1355	1.69%
Badulla	1161	1.45%
