District/ Unit	No of Cases	%
Colombo	10973	20.64%
Gampaha	10431	19.62%
Matara	3799	7.15%
Kalutara	3527	6.63%
Ratnapura	3250	6.11%
Kandy	3167	5.96%
Galle	3094	5.82%
CMC	2343	4.41%
Hambantota	1531	2.88%
Kegalle	1470	2.77%
Kurunegala	1369	2.58%
Batticaloa	1148	2.16%
Puttalam	993	1.87%
Kalmunai	712	1.34%
