Province	No of Cases	%
Western	27833	52.36%
Southern	8424	15.85%
Sabaragamuwa	4720	8.88%
		
Central	4020	7.56%
Eastern	2732	5.14%
North Western	2362	4.44%
Uva	1326	2.49%
Northern	882	1.66%
North Central	860	1.62%
