District/ Unit	No of Cases	%
Monaragala	678	1.28%
Jaffna	655	1.23%
Badulla	648	1.22%
Matale	576	1.08%
NIHS	559	1.05%
Trincomalee	516	0.97%
Anuradhapura	444	0.84%
Polonnaruwa	416	0.78%
Ampara	356	0.67%
Nuwaraeliya	277	0.52%
Vavuniya	84	0.16%
Kilinochchi	54	0.10%
Mannar	54	0.10%
Mullaitivu	35	0.07%
