Province	No of Cases	%
Western	35427	52.76%
Southern	10512	15.66%
Sabaragamuwa	5681	8.46%
Central	5379	8.01%
Eastern	3133	4.67%
North Western	3076	4.58%
Uva	1760	2.62%
North Central	1139	1.70%
Northern	1036	1.54%
