District/ Unit	No of Cases	%
Gampaha	13795	20.55%
Colombo	13563	20.20%
Matara	4772	7.11%
Kalutara	4509	6.72%
Kandy	4276	6.37%
Ratnapura	3899	5.81%
Galle	3867	5.76%
CMC	2782	4.14%
Hambantota	1873	2.79%
Kurunegala	1784	2.66%
Kegalle	1782	2.65%
Puttalam	1292	1.92%
Batticaloa	1263	1.88%
Badulla	914	1.36%
