District/ Unit	No of Cases	%
Monaragala	846	1.26%
Kalmunai	821	1.22%
NIHS	778	1.16%
Jaffna	746	1.11%
Matale	701	1.04%
Trincomalee	584	0.87%
Anuradhapura	585	0.87%
Polonnaruwa	554	0.83%
Ampara	465	0.69%
Nuwaraeliya	402	0.60%
Vavuniya	116	0.17%
Mannar	68	0.10%
Kilinochchi	66	0.10%
Mullaitivu	40	0.06%
