district_id	district_name	n_cases
LK-11	Colombo	18775
LK-11-CMC	CMC	3805
LK-12	Gampaha	20170
LK-13	Kalutara	6111
LK-13-NIHS	NIHS	1237
LK-21	Kandy	6892
LK-22	Matale	982
LK-23	Nuwaraeliya	728
LK-31	Galle	5185
LK-32	Matara	6112
LK-33	Hambantota	2514
LK-41	Jaffna	944
LK-42	Mannar	94
LK-43	Vavuniya	164
LK-44	Mullaitivu	75
LK-45	Kilinochchi	91
LK-51	Batticaloa	1515
LK-52	Ampara	659
LK-52-Kalmunai	Kalmunai	1087
LK-53	Trincomalee	677
LK-61	Kurunegala	2674
LK-62	Puttalam	2053
LK-71	Anuradhapura	941
LK-72	Polonnaruwa	746
LK-81	Badulla	1483
LK-82	Monaragala	1182
LK-91	Ratnapura	5029
LK-92	Kegalle	2741
