district_id	district_name	n_cases
LK-11	Colombo	16457
LK-11-CMC	CMC	3384
LK-12	Gampaha	17600
LK-13	Kalutara	5417
LK-13-NIHS	NIHS	1026
LK-21	Kandy	5685
LK-22	Matale	835
LK-23	Nuwaraeliya	606
LK-31	Galle	4584
LK-32	Matara	5672
LK-33	Hambantota	2254
LK-41	Jaffna	842
LK-42	Mannar	89
LK-43	Vavuniya	141
LK-44	Mullaitivu	49
LK-45	Kilinochchi	78
LK-51	Batticaloa	1377
LK-52	Ampara	582
LK-52-Kalmunai	Kalmunai	923
LK-53	Trincomalee	622
LK-61	Kurunegala	2317
LK-62	Puttalam	1743
LK-71	Anuradhapura	778
LK-72	Polonnaruwa	671
LK-81	Badulla	1225
LK-82	Monaragala	1036
LK-91	Ratnapura	4559
LK-92	Kegalle	2286
