MOH Area	Cases reported	
	Week 23	Week 24
Baddegama	6	17
Bope Poddala	41	72
Elpitiya	8	12
Habaraduwa	4	12
Hikkaduwa	3	11
Imaduwa	4	10
Karandeniya	8	13
MC-Galle	10	40
Thawalama	5	17
Hambantota District		
Ambalantota	9	10
Beliatta	8	12
Katuwana	13	15
Tangalle	22	24
Walasmulla	9	16
CENTRAL PROVINCE		
Kandy District		
Gampola	17	39
Gangawata Korale	23	39
Kandy MC	52	71
Kurunduwaththa	5	10
Menikhinna	13	14
Pasbage	21	15
Thalathuoya	6	11
Udunuwara	19	26
Waththegama	11	23
Werellagama	16	21
Yatinuwara	42	45
SABARAGAMUWA PROVINCE		
Ratnapura District		
Ayagama	11	15
Eheliyagoda	11	14
Embilipitiya	28	18
Kahawatta	12	10
Kalawana	8	20
Kuruvita	25	20
Nivithigala	21	26
