district_id	district_name	n_last_year_last_week	n_last_year_this_week	n_this_year_last_week	n_this_year_this_week	cum_n_last_year	cum_n_this_year
LK-11	Colombo	121	99	295	222	9309	22944
LK-12	Gampaha	68	70	269	224	5519	20527
LK-13	Kalutara	32	28	94	72	1632	7465
LK-21	Kandy	72	85	150	159	3276	7119
LK-22	Matale	19	21	11	10	812	997
LK-23	Nuwara Eliya	3	3	10	17	205	758
LK-31	Galle	37	32	54	47	1723	5261
LK-32	Matara	19	17	43	41	1242	6170
LK-33	Hambantota	13	4	15	21	695	2553
LK-41	Jaffna	10	20	17	19	834	979
LK-42	Mannar	2	2	1	0	121	95
LK-43	Vavuniya	0	0	3	0	37	165
LK-44	Mullaitivu	0	0	0	0	19	73
LK-45	Kilinochchi	3	1	0	0	59	92
LK-51	Batticaloa	11	10	17	21	1614	1544
LK-52	Ampara	0	1	24	11	120	681
LK-52-Kalmunai	Kalmunai	2	3	31	33	350	1135
LK-53	Trincomalee	2	0	3	5	841	684
LK-61	Kurunegala	13	14	42	29	1154	2723
LK-62	Puttalam	9	7	38	37	530	2108
LK-71	Anuradhapura	5	3	15	30	399	982
LK-72	Polonnaruwa	5	5	4	8	279	756
LK-81	Badulla	15	7	25	23	575	1517
LK-82	Monaragala	7	4	17	11	663	1206
LK-91	Ratnapura	70	71	54	55	4162	5115
LK-92	Kegalle	14	14	63	58	1082	2833
