hospital_name	n_cases_last_week	n_cases_this_week
	0	3536
	0	3536
	0	3536
BH - Dambadeniya	4	5
BH - Kamburupitiya	7	6
BH - Karawanella	13	12
BH - Minuwangoda	3	4
BH - Wathupitiwala	15	18
BH – Balangoda	4	4
BH – Gampola	8	6
BH – Kahawatta	4	4
BH – Kalmunai North	5	5
BH – Mawanella	6	7
BH – Mirigama	4	5
BH – Panadura	11	6
BH – Tangalle	7	8
DGH - Avissawella	14	14
DGH - Embilipitiya	2	4
DGH - Nawalapitiya	7	10
DGH – Ampara	6	4
DGH – Gampaha	20	13
DGH – Horana	5	6
DGH – Matale	5	4
DGH – Matara	15	11
DGH – Negambo	23	25
Hospital	0	0
Hospital	0	0
Hospital	0	0
LRH	17	12
NH – Galle	12	15
NH – Kandy	24	27
NHSL	25	23
NIID	40	37
PGH – Badulla	8	8
TH - Anuradhapura	7	9
TH - Colombo North	27	20
TH – Colombo South	28	20
TH – Kalutara	14	10
TH – Kuliyapitiya	5	6
TH – Kurunegala	10	7
TH – Peradeniya	19	18
TH – Ratnapura	14	11
