district_id	district_name	n_cases
LK-11	Colombo	19471
LK-11-CMC	CMC	3950
LK-12	Gampaha	20969
LK-13	Kalutara	6303
LK-13-NIHS	NIHS	1308
LK-21	Kandy	7460
LK-22	Matale	1042
LK-23	Nuwaraeliya	791
LK-31	Galle	5395
LK-32	Matara	6243
LK-33	Hambantota	2616
LK-41	Jaffna	1023
LK-42	Mannar	95
LK-43	Vavuniya	167
LK-44	Mullaitivu	79
LK-45	Kilinochchi	96
LK-51	Batticaloa	1579
LK-52	Ampara	704
LK-52-Kalmunai	Kalmunai	1208
LK-53	Trincomalee	694
LK-61	Kurunegala	2780
LK-62	Puttalam	2163
LK-71	Anuradhapura	1021
LK-72	Polonnaruwa	779
LK-81	Badulla	1571
LK-82	Monaragala	1234
LK-91	Ratnapura	5195
LK-92	Kegalle	2976
