district_id	district_name	n_cases
LK-11	Colombo	14229
LK-11-CMC	CMC	2928
LK-12	Gampaha	14736
LK-13	Kalutara	4753
LK-13-NIHS	NIHS	844
LK-21	Kandy	4696
LK-22	Matale	755
LK-23	Nuwaraeliya	473
LK-31	Galle	4051
LK-32	Matara	5053
LK-33	Hambantota	2021
LK-41	Jaffna	774
LK-42	Mannar	78
LK-43	Vavuniya	120
LK-44	Mullaitivu	42
LK-45	Kilinochchi	69
LK-51	Batticaloa	1293
LK-52	Ampara	496
LK-52-Kalmunai	Kalmunai	855
LK-53	Trincomalee	597
LK-61	Kurunegala	1912
LK-62	Puttalam	1410
LK-71	Anuradhapura	610
LK-72	Polonnaruwa	576
LK-81	Badulla	982
LK-82	Monaragala	898
LK-91	Ratnapura	4071
LK-92	Kegalle	1913
