district_id	district_name	n_cases
LK-11	Colombo	14857
LK-11-CMC	CMC	3016
LK-12	Gampaha	15596
LK-13	Kalutara	4925
LK-13-NIHS	NIHS	887
LK-21	Kandy	4931
LK-22	Matale	777
LK-23	Nuwaraeliya	493
LK-31	Galle	4189
LK-32	Matara	5223
LK-33	Hambantota	2094
LK-41	Jaffna	796
LK-42	Mannar	81
LK-43	Vavuniya	126
LK-44	Mullaitivu	45
LK-45	Kilinochchi	73
LK-51	Batticaloa	1311
LK-52	Ampara	524
LK-52-Kalmunai	Kalmunai	868
LK-53	Trincomalee	604
LK-61	Kurunegala	2023
LK-62	Puttalam	1500
LK-71	Anuradhapura	699
LK-72	Polonnaruwa	603
LK-81	Badulla	1035
LK-82	Monaragala	940
LK-91	Ratnapura	4242
LK-92	Kegalle	2020
