District/ Unit	No of Cases	%
Colombo	11811	20.48%
Gampaha	11443	19.84%
Matara	4190	7.27%
Kalutara	3874	6.72%
Ratnapura	3481	6.04%
Kandy	3471	6.02%
Galle	3318	5.75%
CMC	2487	4.31%
Hambantota	1676	2.91%
Kegalle	1568	2.72%
Kurunegala	1514	2.63%
Batticaloa	1182	2.05%
Puttalam	1079	1.87%
Kalmunai	745	1.29%
