District/ Unit	No of Cases	%
Monaragala	736	1.28%
Badulla	722	1.25%
Jaffna	680	1.18%
NIHS	638	1.11%
Matale	607	1.05%
Trincomalee	544	0.94%
Anuradhapura	480	0.83%
Polonnaruwa	450	0.78%
Ampara	403	0.70%
Nuwaraeliya	327	0.57%
Vavuniya	91	0.16%
Mannar	61	0.11%
Kilinochchi	55	0.10%
Mullaitivu	35	0.06%
