Province	No of Cases	%
Western	30253	52.46%
Southern	9184	15.93%
Sabaragamuwa	5049	8.76%
Central	4405	7.64%
		
Eastern	2874	4.98%
North Western	2593	4.50%
Uva	1458	2.53%
North Central	930	1.61%
Northern	922	1.60%
