Province	No of Cases	%
Western	50098	52.92%
Southern	13811	14.59%
Central	8602	9.09%
Sabaragamuwa	7770	8.21%
North Western	4727	4.99%
Eastern	3938	4.16%
Uva	2665	2.82%
North Central	1687	1.78%
Northern	1368	1.45%
