District/ Unit	No of Cases	%
Gampaha	20170	21.31%
Colombo	18775	19.83%
Kandy	6892	7.28%
Matara	6112	6.46%
Kalutara	6111	6.46%
Galle	5185	5.48%
Ratnapura	5029	5.31%
CMC	3805	4.02%
Kegalle	2741	2.90%
Kurunegala	2674	2.82%
Hambantota	2514	2.66%
Puttalam	2053	2.17%
Batticaloa	1515	1.60%
Badulla	1483	1.57%
