District/ Unit	No of Cases	%
NIHS	1237	1.31%
Monaragala	1182	1.25%
Kalmunai	1087	1.15%
Matale	982	1.04%
Jaffna	944	1.00%
Anuradhapura	941	0.99%
Polonnaruwa	746	0.79%
Nuwaraeliya	728	0.77%
Trincomalee	677	0.72%
Ampara	659	0.70%
Vavuniya	164	0.17%
Mannar	94	0.10%
Kilinochchi	91	0.10%
Mullaitivu	75	0.08%
