District/ Unit	No of Cases	%
Monaragala	700	1.26%
Badulla	682	1.23%
Jaffna	662	1.19%
NIHS	601	1.08%
Matale	599	1.08%
Trincomalee	525	0.95%
Anuradhapura	462	0.83%
Polonnaruwa	433	0.78%
Ampara	370	0.67%
Nuwaraeliya	303	0.55%
Vavuniya	85	0.15%
Mannar	59	0.11%
Kilinochchi	55	0.10%
Mullaitivu	35	0.06%
