District/ Unit	No of Cases	%
Colombo	11392	20.56%
Gampaha	11006	19.86%
Matara	4007	7.23%
Kalutara	3677	6.64%
Ratnapura	3333	6.02%
Kandy	3332	6.01%
Galle	3220	5.81%
CMC	2417	4.36%
Hambantota	1595	2.88%
Kegalle	1510	2.73%
Kurunegala	1437	2.59%
Batticaloa	1161	2.10%
Puttalam	1021	1.84%
Kalmunai	727	1.31%
