Province	No of Cases	%
Western	29093	52.51%
Southern	8822	15.92%
Sabaragamuwa	4843	8.74%
Central	4234	7.64%
Eastern	2783	5.02%
North Western	2458	4.44%
Uva	1382	2.49%
Northern	896	1.62%
North Central	895	1.62%
