district_id	district_name	n_cases
LK-11	Colombo	19168
LK-11-CMC	CMC	3887
LK-12	Gampaha	20622
LK-13	Kalutara	6218
LK-13-NIHS	NIHS	1285
LK-21	Kandy	7199
LK-22	Matale	1001
LK-23	Nuwaraeliya	758
LK-31	Galle	5288
LK-32	Matara	6186
LK-33	Hambantota	2562
LK-41	Jaffna	987
LK-42	Mannar	95
LK-43	Vavuniya	165
LK-44	Mullaitivu	75
LK-45	Kilinochchi	92
LK-51	Batticaloa	1549
LK-52	Ampara	685
LK-52-Kalmunai	Kalmunai	1155
LK-53	Trincomalee	689
LK-61	Kurunegala	2746
LK-62	Puttalam	2126
LK-71	Anuradhapura	988
LK-72	Polonnaruwa	763
LK-81	Badulla	1531
LK-82	Monaragala	1209
LK-91	Ratnapura	5130
LK-92	Kegalle	2868
