District/ Unit	No of Cases	%
Gampaha	16676	21.10%
Colombo	15748	19.93%
Matara	5495	6.95%
Kandy	5318	6.73%
Kalutara	5190	6.57%
Ratnapura	4444	5.62%
Galle	4391	5.56%
CMC	3184	4.03%
Kurunegala	2171	2.75%
Hambantota	2155	2.73%
Kegalle	2155	2.73%
Puttalam	1644	2.08%
Batticaloa	1343	1.70%
Badulla	1145	1.45%
