Province	No of Cases	%
Western	41753	52.84%
Southern	12041	15.24%
Central	6699	8.48%
Sabaragamuwa	6599	8.35%
North Western	3815	4.83%
Eastern	3415	4.32%
Uva	2126	2.69%
North Central	1404	1.78%
Northern	1164	1.47%
