District/ Unit	No of Cases	%
Monaragala	981	1.24%
NIHS	955	1.21%
Kalmunai	897	1.14%
Jaffna	821	1.04%
Matale	815	1.03%
Anuradhapura	768	0.97%
Polonnaruwa	636	0.80%
Trincomalee	615	0.78%
Nuwaraeliya	566	0.72%
Ampara	560	0.71%
Mannar	85	0.11%
Kilinochchi	76	0.10%
Mullaitivu	48	0.06%
Vavuniya	134	0.17%
