district_id	district_name	n_cases
LK-11	Colombo	14625
LK-11-CMC	CMC	2992
LK-12	Gampaha	15341
LK-13	Kalutara	4870
LK-13-NIHS	NIHS	872
LK-21	Kandy	4856
LK-22	Matale	776
LK-23	Nuwaraeliya	485
LK-31	Galle	4143
LK-32	Matara	5167
LK-33	Hambantota	2072
LK-41	Jaffna	791
LK-42	Mannar	81
LK-43	Vavuniya	123
LK-44	Mullaitivu	44
LK-45	Kilinochchi	70
LK-51	Batticaloa	1307
LK-52	Ampara	519
LK-52-Kalmunai	Kalmunai	864
LK-53	Trincomalee	602
LK-61	Kurunegala	1991
LK-62	Puttalam	1465
LK-71	Anuradhapura	659
LK-72	Polonnaruwa	592
LK-81	Badulla	1024
LK-82	Monaragala	936
LK-91	Ratnapura	4184
LK-92	Kegalle	2004
