MOH Area	Cases reported		
	Week 35	Week 36	
Biyagama	34	29	
Divulapitiya	8	14	
Gampaha	15	13	
Ja-Ela	23	15	
Katana	10	15	
Kelaniya	24	11	
Mahara	29	18	
Minuwangoda	11	18	
Pugoda(Dompe)	33	36	
Kalutara District			
Bandaragama	3	10	
Panadura	14	13	
NIHS			
Pyagala	13	10	
SOUTHERN PROVINCE			
