District/ RDHS	No. of cases					
	2025		2026		Up to Week 36	
					2025	2026
	Week  35	Week 36	Week  35	Week 36		
Colombo	121	99	295	222	9309	22944
Gampaha	68	70	269*	224	5519	20527
Kalutara	32	28	94	72	1632	7465
Kandy	72	85	150*	159	3276	7119
Matale	19	21	11	10	812	997
Nuwara Eliya	3	3	10	17	205	758
Galle	37	32	54	47	1723	5261
Hambantota	13	4	15	21	695	2553
Matara	19	17	43	41	1242	6170
Jaffna	10	20	17	19	834	979
Kilinochchi	3	1	Nil	Nil	59	92
Mannar	2	2	1	Nil	121	95
Vavuniya	Nil	Nil	3	Nil	37	165
Mullaitivu	Nil	Nil	Nil	Nil	19	73
Batticaloa	11	10	17	21	1614	1544
Ampara	Nil	1	24*	11	120	681
Trincomalee	2	Nil	3	5	841	684
Kalmunai*	2	3	31	33	350	1135
Kurunegala	13	14	42*	29	1154	2723
Puttalam	9	7	38	37	530	2108
Anuradhapura	5	3	15	30	399	982
Polonnaruwa	5	5	4	8	279	756
Badulla	15	7	25	23	575	1517
Monaragala	7	4	17	11	663	1206
Ratnapura	70	71	54	55	4162	5115
Kegalle	14	14	63*	58	1082	2833
Total*	553	521	1295*		1153  37252  96482	
