district_id	district_name	n_last_year_last_week	n_last_year_this_week	n_this_year_last_week	n_this_year_this_week	cum_n_last_year	cum_n_this_year
LK-11	Colombo	99	144	222	207	9453	23161
LK-12	Gampaha	70	95	224	218	5614	20741
LK-13	Kalutara	28	35	71	73	1667	7537
LK-21	Kandy	85	56	158	174	3332	7289
LK-22	Matale	21	34	10	12	846	1010
LK-23	Nuwara Eliya	3	5	18	14	210	773
LK-31	Galle	32	31	47	69	1754	5329
LK-32	Matara	17	14	41	38	1256	6207
LK-33	Hambantota	4	13	21	22	708	2575
LK-41	Jaffna	20	6	19	22	840	1001
LK-42	Mannar	2	4	0	0	125	95
LK-43	Vavuniya	0	1	0	1	38	166
LK-44	Mullaitivu	0	1	0	1	20	74
LK-45	Kilinochchi	1	0	0	3	59	95
LK-51	Batticaloa	10	12	21	13	1623	1557
LK-52	Ampara	1	9	12	10	121	692
LK-52-Kalmunai	Kalmunai	3	12	32	31	362	1165
LK-53	Trincomalee	0	12	5	5	853	689
LK-61	Kurunegala	14	13	29	38	1167	2760
LK-62	Puttalam	7	9	37	33	539	2141
LK-71	Anuradhapura	3	4	30	11	403	993
LK-72	Polonnaruwa	5	1	8	12	280	768
LK-81	Badulla	7	17	23	25	592	1542
LK-82	Monaragala	4	11	11	11	674	1217
LK-91	Ratnapura	71	66	55	44	4228	5159
LK-92	Kegalle	14	12	58	69	1094	2901
