hospital_name	n_cases_last_week	n_cases_this_week
	0	3637
	0	3637
	0	3637
BH - Gampola	6	5
BH - Karawanella	12	8
BH - Wathupitiwala	18	12
BH – Balangoda	4	6
BH – Dambadeniya	5	5
BH – Kahawatta	4	7
BH – Kalmunai North	5	6
BH – Marawila	3	6
BH – Mawanella	7	9
BH – Panadura	6	8
BH – Tangalle	8	4
BH – Warakapola	3	4
DGH - Avissawella	14	12
DGH - Nawalapitiya	10	10
DGH – Embilipitiya	4	4
DGH – Gampaha	13	18
DGH – Hambantota	2	4
DGH – Kegalle	3	4
DGH – Matale	4	6
DGH – Matara	11	13
DGH – Negambo	25	18
Hospital	0	0
Hospital	0	0
Hospital	0	0
LRH	12	14
NH – Galle	15	18
NH – Kandy	27	26
NHSL	23	24
NIID	37	27
PGH – Badulla	8	8
TH - Colombo North	20	20
TH – Anuradhapura	9	6
TH – Colombo South	20	25
TH – Kalutara	10	12
TH – Kurunegala	7	12
TH – Peradeniya	18	22
TH – Ratnapura	11	7
